campaign_id,campaign_name,campaign_type,channel,objective,start_date,end_date,duration_days,daily_budget,total_budget,total_impressions,total_clicks,total_conversions,total_revenue,avg_cpc,cost_per_conversion,conversion_rate,roas,status,uses_ai_optimization,is_sustainable_focused,targets_gen_z,created_at
CAMP-2025-0001,Spring 2025 Early Adopters Campaign,Product Launch,Facebook Ads,Early Adopters,2025-09-28,2025-10-05,7,703.23,4922.63,78496,1965,111,0.0,2.253,39.7,0.057,0.0,Scheduled,False,False,False,2025-01-01
CAMP-2025-0002,2025 Retargeting - Email Marketing,Retargeting,Email Marketing,Conversions,2025-04-19,2025-06-13,55,371.76,20447.07,3390206,100705,11655,3404803.73,0.203,1.75,0.1157,166.52,Completed,False,False,False,2025-01-01
CAMP-2025-0003,2025 Product Launch - Facebook Ads,Product Launch,Facebook Ads,Awareness,2025-04-27,2025-07-24,88,1701.48,149729.95,9859522,115048,5872,0.0,1.301,25.5,0.051,0.0,Completed,False,False,True,2025-01-01
CAMP-2025-0004,Spring 2025 Video Views Campaign,Brand Awareness,Facebook Ads,Video Views,2025-03-04,2025-04-11,38,1223.35,46487.28,4397504,121148,3412,0.0,0.307,10.9,0.0282,0.0,Completed,True,False,False,2025-01-01
CAMP-2025-0005,Q4 2025 Facebook Ads Drive,Sales Conversion,Facebook Ads,ROAS,2025-08-15,2025-11-03,80,739.12,59129.53,1679875,55419,1450,431260.8,0.96,36.68,0.0262,8.1,Active,False,True,True,2025-01-01
CAMP-2025-0006,New Year 2025 Product Launch,Product Launch,Influencer Marketing,Trial,2025-10-28,2025-11-07,10,1202.41,12024.06,84145,5233,735,0.0,2.986,21.24,0.1408,0.0,Scheduled,True,True,True,2025-01-01
CAMP-2025-0007,Spring 2025 ROAS Campaign,Sales Conversion,TikTok Ads,ROAS,2025-05-24,2025-07-12,49,294.39,14425.02,1200272,12705,205,31023.37,1.135,70.37,0.0162,2.15,Completed,False,False,False,2025-01-01
CAMP-2025-0008,2025 Sales Conversion - YouTube Ads,Sales Conversion,YouTube Ads,ROAS,2025-06-29,2025-09-23,86,793.63,68252.09,2574546,32686,2679,381794.53,2.088,25.48,0.082,5.59,Completed,True,False,True,2025-01-01
CAMP-2025-0009,Q2 2025 Email Marketing Drive,Lead Generation,Email Marketing,Sign-ups,2025-01-13,2025-03-25,71,428.23,30404.29,2920809,60100,8549,0.0,0.405,2.84,0.1423,0.0,Completed,True,False,False,2025-01-01
CAMP-2025-0010,New Year 2025 Lead Generation,Lead Generation,TikTok Ads,Leads,2025-10-21,2025-11-16,26,750.36,19509.4,386955,23071,969,0.0,1.099,26.15,0.0421,0.0,Scheduled,False,False,True,2025-01-01
CAMP-2025-0011,Q2 2025 Instagram Ads Drive,Lead Generation,Instagram Ads,Leads,2025-05-13,2025-06-06,24,437.49,10499.77,182598,4311,139,0.0,2.435,75.54,0.0324,0.0,Completed,True,False,False,2025-01-01
CAMP-2025-0012,Spring 2025 Customer Return Campaign,Retargeting,TikTok Ads,Customer Return,2025-02-09,2025-04-22,72,173.55,12495.76,238015,8756,314,32336.2,1.142,31.8,0.0359,3.23,Completed,False,False,False,2025-01-01
CAMP-2025-0013,Q3 2025 TikTok Ads Drive,Product Launch,TikTok Ads,Awareness,2025-07-09,2025-09-20,73,967.62,70636.04,4288256,186655,8868,0.0,0.341,7.17,0.0475,0.0,Completed,True,False,False,2025-01-01
CAMP-2025-0014,New Year 2025 Lead Generation,Lead Generation,YouTube Ads,Downloads,2025-08-02,2025-09-20,49,233.87,11459.61,165701,3062,164,0.0,3.367,62.62,0.0539,0.0,Completed,False,True,True,2025-01-01
CAMP-2025-0015,Q1 2025 Instagram Ads Drive,Product Launch,Instagram Ads,Trial,2025-04-29,2025-05-24,25,1504.85,37621.16,787041,28871,1999,0.0,1.303,18.82,0.0692,0.0,Completed,True,False,True,2025-01-01
CAMP-2025-0016,Q3 2025 Facebook Ads Drive,Brand Awareness,Facebook Ads,Reach,2025-01-31,2025-02-07,7,1489.76,10428.33,154403,3416,78,0.0,2.442,106.41,0.0232,0.0,Completed,True,False,True,2025-01-01
CAMP-2025-0017,Q2 2025 LinkedIn Ads Drive,Product Launch,LinkedIn Ads,Trial,2025-05-18,2025-06-18,31,1509.19,46784.89,352033,12944,834,0.0,3.614,56.1,0.0645,0.0,Completed,True,False,True,2025-01-01
CAMP-2025-0018,Q3 2025 YouTube Ads Drive,Retargeting,YouTube Ads,Customer Return,2025-04-12,2025-05-24,42,603.88,25363.17,636127,8831,405,106746.61,2.872,62.63,0.0459,4.21,Completed,True,True,True,2025-01-01
CAMP-2025-0019,Spring 2025 Reach Campaign,Brand Awareness,LinkedIn Ads,Reach,2025-02-20,2025-04-18,57,330.27,18825.22,801103,7702,824,0.0,1.955,18.26,0.1071,0.0,Completed,False,False,False,2025-01-01
CAMP-2025-0020,New Year 2025 Brand Awareness,Brand Awareness,YouTube Ads,Reach,2025-09-09,2025-11-24,76,532.93,40502.76,839515,18408,741,0.0,1.98,49.15,0.0403,0.0,Active,False,False,False,2025-01-01
CAMP-2025-0021,Q4 2025 Google Ads Drive,Sales Conversion,Google Ads,Sales,2025-02-27,2025-04-19,51,201.61,10282.34,762662,9803,252,28261.61,0.839,32.54,0.0259,3.44,Completed,False,False,False,2025-01-01
CAMP-2025-0022,2025 Product Launch - LinkedIn Ads,Product Launch,LinkedIn Ads,Trial,2025-01-06,2025-01-13,7,544.21,3809.48,35037,777,70,0.0,3.917,43.29,0.0909,0.0,Completed,True,False,True,2025-01-01
CAMP-2025-0023,Q3 2025 Instagram Ads Drive,Brand Awareness,Instagram Ads,Video Views,2025-07-01,2025-09-28,89,449.85,40036.69,2333503,43842,2178,0.0,0.822,16.54,0.0497,0.0,Active,False,False,True,2025-01-01
CAMP-2025-0024,New Year 2025 Lead Generation,Lead Generation,YouTube Ads,Leads,2025-08-29,2025-09-28,30,598.93,17968.04,238930,9732,420,0.0,1.661,38.48,0.0432,0.0,Active,False,False,True,2025-01-01
CAMP-2025-0025,Q1 2025 YouTube Ads Drive,Retargeting,YouTube Ads,Conversions,2025-05-19,2025-06-25,37,216.7,8017.96,186165,8984,793,85300.69,0.892,10.11,0.0883,10.64,Completed,False,True,True,2025-01-01
CAMP-2025-0026,2025 Retargeting - TikTok Ads,Retargeting,TikTok Ads,Conversions,2025-06-14,2025-08-22,69,192.05,13251.75,371316,16302,489,100245.01,0.813,27.1,0.03,7.56,Completed,False,False,True,2025-01-01
CAMP-2025-0027,Spring 2025 Leads Campaign,Lead Generation,Google Ads,Leads,2025-05-18,2025-06-30,43,251.5,10814.69,207394,5266,227,0.0,2.054,47.64,0.0432,0.0,Completed,True,False,False,2025-01-01
CAMP-2025-0028,Spring 2025 Video Views Campaign,Brand Awareness,Instagram Ads,Video Views,2025-04-20,2025-05-16,26,526.95,13700.61,377228,5078,123,0.0,2.698,111.39,0.0244,0.0,Completed,True,True,True,2025-01-01
CAMP-2025-0029,Spring 2025 Downloads Campaign,Lead Generation,Facebook Ads,Downloads,2025-10-12,2025-11-07,26,521.22,13551.61,243085,10934,224,0.0,1.611,78.33,0.0207,0.0,Scheduled,True,False,False,2025-01-01
CAMP-2025-0030,New Year 2025 Sales Conversion,Sales Conversion,Instagram Ads,Revenue,2025-05-07,2025-06-04,28,329.17,9216.67,503575,7501,267,77118.38,1.229,34.52,0.0357,8.37,Completed,False,False,True,2025-01-01
CAMP-2025-0031,Spring 2025 Revenue Campaign,Sales Conversion,TikTok Ads,Revenue,2025-10-18,2025-12-23,66,347.72,22949.74,716751,27553,343,53876.03,1.083,86.93,0.0125,1.81,Scheduled,True,False,True,2025-01-01
CAMP-2025-0032,2025 Lead Generation - Facebook Ads,Lead Generation,Facebook Ads,Downloads,2025-06-22,2025-08-06,45,772.75,34773.77,1318205,39480,1899,0.0,0.881,18.31,0.0481,0.0,Completed,True,False,True,2025-01-01
CAMP-2025-0033,New Year 2025 Lead Generation,Lead Generation,Influencer Marketing,Downloads,2025-03-01,2025-04-27,57,748.73,42677.85,281691,4606,220,0.0,7.411,154.63,0.048,0.0,Completed,True,False,False,2025-01-01
